

------ ******* ------ New Log ------ ******* ------
/mnt/beegfs/home/qingli/TisODE_new/TisODE/mnist/main_ode_gaus.py
isTrain: True
isODE: True
isSS: False
isRandom: False
device_ids: [1]
CNN_steps: 10
rtol: 0.001
atol: 0.001
adjoint: False
step_size: 0.1
TimePeriod: [0.0, 1.0]
exp_name: debug_MNIST_ODE_gaus_1
resume: False
start_epoch: 0
end_epoch: 100
data_aug: True
batch_size: 128
milestones: [30, 60, 90]
lr: 0.001
weight_decay: 0.0005
gamma: 0.2
dir_logging: ../../checkpoints/mnist
---- Model ----
ODENet_MNIST(
  (net): Sequential(
    (0): Conv2d(1, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): GroupNorm(32, 64, eps=1e-05, affine=True)
    (2): ReLU(inplace=True)
    (3): Conv2d(64, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1))
    (4): GroupNorm(32, 64, eps=1e-05, affine=True)
    (5): ReLU(inplace=True)
    (6): ODEBlock(
      (odefunc): ODEfunc(
        (relu): ReLU(inplace=True)
        (conv1): ConcatConv2d(
          (_layer): Conv2d(65, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
        )
        (norm1): GroupNorm(32, 64, eps=1e-05, affine=True)
        (conv2): ConcatConv2d(
          (_layer): Conv2d(65, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
        )
        (norm2): GroupNorm(32, 64, eps=1e-05, affine=True)
      )
    )
    (7): AdaptiveAvgPool2d(output_size=(1, 1))
    (8): Flatten()
    (9): Linear(in_features=64, out_features=10, bias=True)
  )
)
Number of parameters: 142410
---- Training ----
Epoch 0031/0100 | Time 21.304s | Train Acc 0.0000 | Test Acc 0.9938 | Best epoch @ 0031 with Acc 0.9938 | lr: 0.000200
Epoch 0032/0100 | Time 21.210s | Train Acc 0.0000 | Test Acc 0.9941 | Best epoch @ 0032 with Acc 0.9941 | lr: 0.000200
Epoch 0033/0100 | Time 20.987s | Train Acc 0.0000 | Test Acc 0.9941 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0034/0100 | Time 21.091s | Train Acc 0.0000 | Test Acc 0.9929 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0035/0100 | Time 21.263s | Train Acc 0.0000 | Test Acc 0.9927 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0036/0100 | Time 21.122s | Train Acc 0.0000 | Test Acc 0.9922 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0037/0100 | Time 20.765s | Train Acc 0.0000 | Test Acc 0.9902 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0038/0100 | Time 21.457s | Train Acc 0.0000 | Test Acc 0.9922 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0039/0100 | Time 32.569s | Train Acc 0.9959 | Test Acc 0.9940 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0040/0100 | Time 21.095s | Train Acc 0.0000 | Test Acc 0.9917 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0041/0100 | Time 21.218s | Train Acc 0.0000 | Test Acc 0.9932 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0042/0100 | Time 21.356s | Train Acc 0.0000 | Test Acc 0.9932 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0043/0100 | Time 21.090s | Train Acc 0.0000 | Test Acc 0.9934 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0044/0100 | Time 21.268s | Train Acc 0.0000 | Test Acc 0.9932 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0045/0100 | Time 21.007s | Train Acc 0.0000 | Test Acc 0.9934 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0046/0100 | Time 21.063s | Train Acc 0.0000 | Test Acc 0.9906 | Best epoch @ 0033 with Acc 0.9941 | lr: 0.000200
Epoch 0047/0100 | Time 21.122s | Train Acc 0.0000 | Test Acc 0.9944 | Best epoch @ 0047 with Acc 0.9944 | lr: 0.000200
Epoch 0048/0100 | Time 21.674s | Train Acc 0.0000 | Test Acc 0.9948 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0049/0100 | Time 31.831s | Train Acc 0.9956 | Test Acc 0.9929 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0050/0100 | Time 21.081s | Train Acc 0.0000 | Test Acc 0.9927 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0051/0100 | Time 20.930s | Train Acc 0.0000 | Test Acc 0.9928 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0052/0100 | Time 21.286s | Train Acc 0.0000 | Test Acc 0.9918 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0053/0100 | Time 21.044s | Train Acc 0.0000 | Test Acc 0.9939 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0054/0100 | Time 21.004s | Train Acc 0.0000 | Test Acc 0.9917 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0055/0100 | Time 21.009s | Train Acc 0.0000 | Test Acc 0.9936 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0056/0100 | Time 21.065s | Train Acc 0.0000 | Test Acc 0.9919 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0057/0100 | Time 20.956s | Train Acc 0.0000 | Test Acc 0.9938 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0058/0100 | Time 21.652s | Train Acc 0.0000 | Test Acc 0.9922 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0059/0100 | Time 32.555s | Train Acc 0.9961 | Test Acc 0.9934 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000200
Epoch 0060/0100 | Time 21.375s | Train Acc 0.0000 | Test Acc 0.9943 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0061/0100 | Time 21.260s | Train Acc 0.0000 | Test Acc 0.9947 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0062/0100 | Time 21.387s | Train Acc 0.0000 | Test Acc 0.9946 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0063/0100 | Time 21.200s | Train Acc 0.0000 | Test Acc 0.9935 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0064/0100 | Time 21.202s | Train Acc 0.0000 | Test Acc 0.9944 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0065/0100 | Time 21.420s | Train Acc 0.0000 | Test Acc 0.9947 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0066/0100 | Time 21.251s | Train Acc 0.0000 | Test Acc 0.9939 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0067/0100 | Time 21.135s | Train Acc 0.0000 | Test Acc 0.9944 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0068/0100 | Time 21.536s | Train Acc 0.0000 | Test Acc 0.9946 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0069/0100 | Time 32.128s | Train Acc 0.9978 | Test Acc 0.9941 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0070/0100 | Time 21.282s | Train Acc 0.0000 | Test Acc 0.9939 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0071/0100 | Time 21.029s | Train Acc 0.0000 | Test Acc 0.9940 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0072/0100 | Time 21.135s | Train Acc 0.0000 | Test Acc 0.9945 | Best epoch @ 0048 with Acc 0.9948 | lr: 0.000040
Epoch 0073/0100 | Time 21.065s | Train Acc 0.0000 | Test Acc 0.9951 | Best epoch @ 0073 with Acc 0.9951 | lr: 0.000040
Epoch 0074/0100 | Time 21.217s | Train Acc 0.0000 | Test Acc 0.9940 | Best epoch @ 0073 with Acc 0.9951 | lr: 0.000040
